Instructor,Type,Course,Program,Semester,Total Classes,Classes by Self
A36,Faculty,वेदपाठः [SK-502] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,वेदपाठः [SK-502] [CORE],Integrated 5 Year MA in Sanskrit(M),4,0,0
,,Data Structures and Algorithms [CS110] [ELECT],MSc in Big Data Analytics,1,0,0
,,Programming for Data Science-2 [DA107] [CORE],MSc in Big Data Analytics,2,12,12
,,Concepts of Programming Languages [CS123] [CORE],MSc in Computer Science,1,0,0
,,Distributed Systems [CS248] [ELECT],MSc in Computer Science,2,7,7
,,Quantum Computing [CS239] [ELECT],MSc in Computer Science,3,0,0
,,Algorithms for Data Science [CS218b] [ELECT],MSc in Computer Science,3,0,0
A37,Faculty,Optimization for Machine Learning [CS247] [CORE],MSc in Big Data Analytics,1,0,0
,,Optimization for Machine Learning [CS247] [ELECT],MSc in Computer Science,1,0,0
,,Foundations of Statistical Learning [CS112] [CORE],MSc in Computer Science,1,0,0
,,Foundation of Yoga [MSY CT 102] [CORE],MA / MSc in Yoga,1,0,0
,,Science of Pranayama [MSY CP 207] [CORE],MA / MSc in Yoga,2,17,12
,,Applied Yoga [MSY CT 204] [CORE],MA / MSc in Yoga,2,9,0
A38,Faculty,संस्कृतभाषाप्रवेशः (प्रौढरचनानुवादकौमुदी- पाणिनीयम्- संस्कृतसंभाषणसोपनम्) [SK-521] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,वेदपाठः [SK-501] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,वेतालपञ्चविंशत्यादिभ्यः चिताः अंशाः [SK-412] [CORE],Integrated 5 Year MA in Sanskrit(M),2,12,0
,,वेदपाठः [SK-501] [CORE],Integrated 5 Year MA in Sanskrit(M),2,6,6
,,संस्कृतसाहित्येतिहासः + SWAYAM (2+2 Cr) [SK-431] [CORE],Integrated 5 Year MA in Sanskrit(M),4,0,0
,,कठोपनिषत् शांकरभाष्यसमेता [SK-101] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,वेदपाठः [SK-503] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,वेदपाठः [SK-503] [CORE],Integrated 5 Year MA in Sanskrit(M),6,6,6
,,सांख्यकारिका (1-30 कारिकाः) (30) [SK-331 A] [CORE],Integrated 5 Year MA in Sanskrit(M),6,11,11
,,योगसूत्रे समाधिपादः व्य़ासभाष्यसहितः (20) [SK-331 B] [CORE],Integrated 5 Year MA in Sanskrit(M),6,11,11
,,बृहदारण्यकोपनिषदि तृतीयचतुर्थाध्यायौ सशांकरभाष्यौ [SK-104] [CORE],Basic Course in Sanskrit and Philosophy,1,25,0
,,कठोपनिषत् शांकरभाष्यसमेता [SK-101] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
A39,Faculty,Spiritual Heritage of India I [MSY CT 1O1] [CORE],MA / MSc in Yoga,1,0,0
,,Spiritual Heritage of India II [MSY CT 201] [CORE],MA / MSc in Yoga,2,9,9
A40,Faculty,साहित्यदर्पण आदितः तृतीये रसप्रकरणान्तम् (35)- वृत्तरत्नाकरे चितानि 20 छन्दांसि (15) [SK-441] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,ऋग्वेदीयम् अग्निसूक्तम्(1.1.1)- इन्द्रसूक्तम् (1.32)- पुरुषसूक्तं(10.7.90)- देवीसूक्तम् (10.10.125)- नासदीयसूक्तं(10.11.129) च सायणभाष्योपेतम्- (35 SCH)- निरुक्ते प्रथमद्वितीयाध्यायौ ( 20 SCH) [SK-301] [CORE],Integrated 5 Year MA in Sanskrit(M),8,16,0
,,ध्वन्यालोके प्रथमोद्योतः सलोचनः [SK-451] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,ध्वन्यालोके प्रथमोद्योतः सलोचनः [SK-451] [CORE],Integrated 5 Year MA in Sanskrit(W),9,0,0
A41,Guest Faculty,Algorithms for Data Science [CS218b] [ELECT],MSc in Computer Science,3,0,0
A42,Guest Faculty,भाषातत्त्वम् (भाषोत्पत्तिसिद्धान्ताः- भाषाणां वर्गीकरणं- ध्वनिनियमाः- अर्थपरिवर्तननियमाः) + SWAYAM [SK-315] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,भाषातत्त्वम् (भाषोत्पत्तिसिद्धान्ताः- भाषाणां वर्गीकरणं- ध्वनिनियमाः- अर्थपरिवर्तननियमाः) + SWAYAM [SK-315] [CORE],Integrated 5 Year MA in Sanskrit(M),8,8,8
A43,Guest Faculty,Computer Vision [CS342] [ELECT],MSc in Big Data Analytics,2,11,11
,,Computer Vision [CS342] [CORE],MSc in Computer Science,2,11,11
,,Computer Vision [CS342] [ELECT],MSc in Computer Science,4,11,11
A44,Guest Faculty,Applied Yoga [MSY CT 204] [CORE],MA / MSc in Yoga,2,9,9
,,Yogic Lifestyle [MSY CT 104] [CORE],MA / MSc in Yoga,1,0,0
A45,Guest Faculty,Environmental Studies (Compulsory) [ES-631] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,Environmental Studies (Compulsory) [ES-632] [CORE],Integrated 5 Year MA in Sanskrit(M),6,9,9
A46,Guest Faculty,Introduction to Econometrics and Finance [DA242] [ELECT],MSc in Big Data Analytics,3,0,0
A47,Guest Faculty,Probability and Stochastic processes [DA104] [CORE],MSc in Big Data Analytics,1,0,0
,,Probability and Stochastic processes [DA104] [ELECT],MSc in Mathematics,3,0,0
A48,Guest Faculty,Advanced Statistical Methods [DA210] [CORE],MSc in Big Data Analytics,2,15,13
A49,Guest Faculty,ब्रह्मसूत्रे प्रथमाध्याये तृतीयचतुर्थपादौ शाङ्करभाष्योपेतौ [SK-132] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
A50,Guest Faculty,Introduction to Econometrics and Finance [DA242] [ELECT],MSc in Big Data Analytics,3,0,0
A51,Guest Faculty,Introduction to Human Anatomy (Th) [SSMSCT 102 ] [CORE],MSc in Sports Science,1,0,0
A52,Guest Faculty,Human Anatomy & Physiology [MSY CT&P 103] [CORE],MA / MSc in Yoga,1,0,0
,,Physiology of Yogic Practices [MSY CT&P 205] [CORE],MA / MSc in Yoga,2,3,3
A53,Guest Faculty,Programming for Data Science [DA108] [CORE],MSc in Big Data Analytics,1,0,0
A54,Guest Faculty,Quantum Computing [CS239] [ELECT],MSc in Computer Science,3,0,0
A55,Para-academics,Computer Applications (General) (Th-32- Pr-64 Hrs) [CA-621] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,Computer Applications (General) (Th-32- Pr-64 Hrs) [CA-622] [CORE],Integrated 5 Year MA in Sanskrit(M),2,20,15
,,Design and Fabrication Laboratory [PHY519] [CORE],MSc in Physics,3,0,0
A56,Para-academics,Computer Applications (General) (Th-32- Pr-32 Hrs) [CA-623] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,Computer Applications (General) (Th-32- Pr-32 Hrs) [CA-624] [CORE],Integrated 5 Year MA in Sanskrit(M),4,14,14
,,Enabling Technologies for Big Data Computing [DA230] [CORE],MSc in Big Data Analytics,2,13,13
,,Android and IoT [CS236] [ELECT],MSc in Computer Science,1,0,0
A57,Para-academics,तर्कसंग्रहो दीपिकासहितः [SK-342] [CORE],Integrated 5 Year MA in Sanskrit(M),4,20,20
,,वेदान्तपरिभाषा (आदितः आगमान्ता) [SK-163] [CORE],Integrated 5 Year MA in Sanskrit(M),6,17,17
,,वेदान्तपरिभाषा अनुपलब्धितः आन्तम् [SK-164] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
,,केनोपनिषद् ऐतरेयोपनिषच्च शांकरभाष्योपेते [SK-107] [CORE],Integrated 5 Year MA in Sanskrit(M),8,27,27
,,प्रश्नोपनिषद् शांकरभाष्योपेता [SK-108] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,अद्वैतसिद्धिः आदितो दृश्यत्वहेतुविचारान्ता [SK-171] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,ब्रह्मसूत्रे तृतीयाध्याये द्वितीयतृतीयपादौ शाङ्करभाष्योपेतौ [SK-135] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
,,अद्वैतसिद्धौ निर्दिष्टांशाः - जडत्वहेतुविचारः। परिच्छिन्नत्वहेतुविचारः। सन् घट इति प्रत्यक्षे अधिष्ठानानुवेधः। प्रत्यक्षस्य न्यायैः प्राबल्यविचारः। प्रत्यक्षस्योपजीव्यत्वेन प्राबल्यविचारः। प्रत्यक्षस्य लिङ्गबाध्यत्वविचारः। प्रत्यक्षस्य शब्दबाध्यत्वविचारः। [SK-173] [CORE],Integrated 5 Year MA in Sanskrit(M),10,27,27
,,Laghuvāsudevamananam [SK-166] [CORE],Basic Course in Sanskrit and Philosophy,1,12,12
A58,Para-academics,संस्कृतभाषाप्रवेशः (प्रौढरचनानुवादकौमुदी- पाणिनीयम्- संस्कृतसंभाषणसोपनम्) [SK-521] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,Bengali-1 [BN-767] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
,,Bengali-2 [BN-768] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
A59,Para-academics,संस्कृतभाषाप्रवेशः (प्रौढरचनानुवादकौमुदी- पाणिनीयम्- संस्कृतसंभाषणसोपनम्) [SK-521] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,लघुसिद्धान्तकौमुद्याम् अजन्तस्त्रीलिङ्गादारभ्य अव्ययप्रकरणं यावत् स्त्रीप्रत्ययश्च  (सूस.186) [SK-237] [CORE],Integrated 5 Year MA in Sanskrit(M),2,10,10
A60,Para-academics,Spiritual Heritage of India [SH-603] [CORE],Integrated 5 Year MA in Sanskrit(M),6,6,6
A61,Para-academics,Computer Applications (General) (Th-32- Pr-64 Hrs) [CA-621] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,Computer Applications (General) (Th-32- Pr-64 Hrs) [CA-622] [CORE],Integrated 5 Year MA in Sanskrit(M),2,20,5
,,Design and Fabrication Laboratory [PHY519] [CORE],MSc in Physics,3,0,0
A62,PhD Student,अलंकारशास्त्रोपकण्ठम् (35) विवेकानन्दप्रणीतसंस्कृतस्तोत्राणि च (15) [SK-401] [CORE],Integrated 5 Year MA in Sanskrit(M),2,23,23
,,वेतालपञ्चविंशत्यादिभ्यः चिताः अंशाः [SK-412] [CORE],Integrated 5 Year MA in Sanskrit(M),2,12,11
A63,PhD Student,Computer Applications (Pr) [SSMSCP 101 ] [CORE],MSc in Sports Science,1,0,0
A64,PhD Student,गीतोपनिषत्पाठः (गीता 5-8- मुण्डकोपनिषद्) (134+64=198) [SK-513] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,सिद्धान्तकौमुद्यां तद्धितप्रकरणे प्राग्घितीयात् द्विरुक्तं यावत् (1626-2150)सूसं.525 [SK-218] [CORE],Integrated 5 Year MA in Sanskrit(W),10,19,19
A65,PhD Student,गीतोपनिषत्पाठः (गीता 3-4- कठोपनिषद्) (85+119=204) [SK-512] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
A66,PhD Student,सिद्धान्तकौमुद्यां तद्धितप्रकरणे अपत्याधिकारात् प्राग्वहतीयं यावत् (1072-1625) सूस. 554 [SK-216] [CORE],Integrated 5 Year MA in Sanskrit(M),8,31,31
,,Saṃskṛtabhāṣāpraveśaḥ-2 [SK-732] [CORE],Basic Course in Sanskrit and Philosophy,1,3,3
A67,PhD Student,Gītā-2 [PH-713] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
A68,PhD Student,सिद्धान्तकौमुद्यां कारकप्रकरणम् (सूसं.115) [SK-209] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,सिद्धान्तकौमुद्यां समासप्रकरणम् (सूसं.284) [SK-213] [CORE],Integrated 5 Year MA in Sanskrit(M),4,19,19
,,सिद्धान्तकौमुद्यां कृत्यप्रकरणात् पूर्वकृदन्तप्रकरणं यावत् (सूसं.219) [SK-227] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
A69,PhD Student,छान्दोग्योपनिषदि 6-8 आध्यायाः [SK-103] [CORE],Integrated 5 Year MA in Sanskrit(M),7,0,0
A70,PhD Student,वेतालपञ्चविंशत्यादिभ्यः चिताः अंशाः [SK-412] [CORE],Integrated 5 Year MA in Sanskrit(M),2,12,1
,,Saṃskṛtabhāṣāpraveśaḥ-1 [SK-731] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
A71,PhD Student,संस्कृतभाषाप्रवेशः (प्रौढरचनानुवादकौमुदी- पाणिनीयम्- संस्कृतसंभाषणसोपनम्) [SK-521] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,ब्रह्मसूत्रे तृतीयाध्याये चतुर्थपादः चतुर्थाध्यायश्च शाङ्करभाष्योपेतः [SK-136] [CORE],Integrated 5 Year MA in Sanskrit(M),10,0,0
,,Sanskrit Language [MSY CT 105 ] [CORE],MA / MSc in Yoga,2,4,4
,,गीतोपनिषत्पाठः (गीता 14-18- प्रश्नोपनिषद् 1+2) (177+16+13=206) [SK-515] [CORE],Integrated 5 Year MA in Sanskrit(W),9,0,0
,,Sanskrit Language [MSY CT 105 ] [CORE],MA / MSc in Yoga,1,0,0
A72,PhD Student,Yoga practical [MAY 105] [CORE],MA / MSc in Yoga,1,0,0
,,Yoga Practicum II [MSY CP 206] [CORE],MA / MSc in Yoga,2,10,6
,,Physiology of Yogic Practices [SSMSCTP 207] [CORE],MSc in Sports Science,2,0,0
,,Sanskrit Language [MSY CT 105 ] [CORE],MA / MSc in Yoga,1,0,0
,,Yoga Practicum I [MSY CP 106 ] [CORE],MA / MSc in Yoga,1,0,0
A73,PhD Student,लघुसिद्धान्तकौमुदी अजन्तपुंलिङ्गान्ता (सूत्रसंख्या - 216) [SK-236] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,गीतोपनिषत्पाठः (गीता 1-2- ईश-केनोपनिषदौ) (118+18+35=171) [SK-511] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,सिद्धान्तकौमुद्यां तद्धितप्रकरणे प्राग्घितीयात् द्विरुक्तं यावत् (1626-2150)सूसं.525 [SK-218] [CORE],Integrated 5 Year MA in Sanskrit(M),10,0,0
A74,PhD Student,रघुवंशे प्रथमसर्गः [SK-411] [CORE],Integrated 5 Year MA in Sanskrit(M),1,0,0
,,ब्रह्मसूत्रे द्वितीयाध्याये चतुर्थपादः तृतीयाध्यायस्य प्रथमपादश्च शाङ्करभाष्योपेतः [SK-134] [CORE],Integrated 5 Year MA in Sanskrit(M),8,14,14
A75,PhD Student,सिद्धान्तकौमुद्याम् उत्तरकृदन्तप्रकरणम् (सूसं.339) [SK-228] [CORE],Integrated 5 Year MA in Sanskrit(W),10,0,0
A76,PhD Student,तर्कसंग्रहो न्यायबोधिनीसहितः [SK-341] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,वेदान्तसारः [SK-161] [CORE],Integrated 5 Year MA in Sanskrit(M),4,7,7
,,Gita-1 [PH-712] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
A77,PhD Student,पञ्चदश्याम् 1-5 अध्यायाः [SK-151] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
A78,PhD Student,सिद्धान्तकौमुद्यां सन्नन्तात् लकारार्थं यावत् (सूसं.222) [SK-225] [CORE],Integrated 5 Year MA in Sanskrit(M),8,0,0
A79,PhD Student,लघुसिद्धान्तकौमुद्याम् कृत्तद्धितौ [SK-239] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,सिद्धान्तकौमुद्यामजन्तपुंलिङ्गप्रकरणाद् अव्ययप्रकरणं यावत् (सूसं.276) [SK-205] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
,,सिद्धान्तकौमुद्याम् उत्तरकृदन्तप्रकरणम् (सूसं.339) [SK-228] [CORE],Integrated 5 Year MA in Sanskrit(M),10,0,0
A80,PhD Student,गीतोपनिषत्पाठः (गीता 14-18- प्रश्नोपनिषद् 1+2) (177+16+13=206) [SK-515] [CORE],Integrated 5 Year MA in Sanskrit(M),9,0,0
A81,PhD Student,"साहित्यदर्पणे 4,5,8,9 परिच्छेदाः- कुवलयानन्दे चिता अलंकाराः च [SK-444] [CORE]",Integrated 5 Year MA in Sanskrit(M),4,0,0
,,सिद्धान्तकौमुदी पञ्चसन्ध्यन्ता (सूसं.178) [SK-201] [CORE],Integrated 5 Year MA in Sanskrit(M),5,0,0
A82,Research Fellow,Introduction to Analysis [M 200] [CORE],MSc in Mathematics,1,0,0
,,Real Analysis I [M 205] [CORE],MSc in Mathematics,2,8,8
A83,Research Fellow,Set Theory and Methodology of Mathematics [M 215] [CORE],MSc in Mathematics,1,0,0
A84,Administration,Mathematical Logic [CS222] [CORE],MSc in Computer Science,2,1,1
,,Computational Complexity [CS303] [ELECT],MSc in Computer Science,3,0,0
A85,Administration,Data Mining [DA206] [ELECT],MSc in Big Data Analytics,3,0,0
,,Design and Analysis of Algorithms [CS241] [CORE],MSc in Computer Science,1,0,0
,,Automata Theory [CS200] [CORE],MSc in Computer Science,2,14,14
,,Data Mining [DA206] [ELECT],MSc in Computer Science,3,0,0
A86,Administration,Spiritual Heritage of India [SH-602] [CORE],Integrated 5 Year MA in Sanskrit(M),3,0,0
,,Spiritual Heritage of India [SH-602] [CORE],Integrated 5 Year MA in Sanskrit(M),4,0,0
,,Spiritual Heritage of India [SH-605] [CORE],Integrated 5 Year MA in Sanskrit(M),10,0,0
A87,Administration,Yogic Lifestyle [MSY CT 104] [CORE],MA / MSc in Yoga,1,0,0
,,Foundation of Yoga [MSY CT 102] [CORE],MA / MSc in Yoga,1,0,0
,,Patanjali Yoga Sutra [MSY CT&P 202] [CORE],MA / MSc in Yoga,2,6,6
,,Yogasūtra [PH-715] [CORE],Basic Course in Sanskrit and Philosophy,1,0,0
